Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22u,C_0603_1608Metric,-1.2,-6.7,90,top
C2,47u,C_0805_2012Metric,1.3,-5.7,180,top
C3,1u,C_0402_1005Metric,-2.5,1.9,-90,top
C4,1u,C_0402_1005Metric,-2.8,11.1,-90,top
C5,1u,C_0402_1005Metric,-2.8,7.7,-90,top
C6,1u,C_0402_1005Metric,2.7,11.5,0,top
C7,1u,C_0402_1005Metric,2.7,8.4,0,top
J1,Conn_01x30_MountingPin,Hirose_FH12-30S-0.5SH_1x30-1MP_P0.50mm_Horizontal,10.95,0,-90,top
J5,Conn_01x22_MountingPin,Hirose_FH12-22S-0.5SH_1x22-1MP_P0.50mm_Horizontal,-5.5,0,-90,top
L1,L,L_0603_1608Metric,-2.7,-6.7,-90,top
L2,L_Ferrite_Coupled_Small_1243,L_CommonModeChoke_Coilcraft_0603USB,-2.2,-4.5,0,top
L3,L_Ferrite_Coupled_Small_1243,L_CommonModeChoke_Coilcraft_0603USB,-2.2,-3,0,top
L4,L_Ferrite_Coupled_Small_1243,L_CommonModeChoke_Coilcraft_0603USB,-2.2,-1.5,0,top
L5,L,L_0603_1608Metric,-4,7.1,90,top
L6,2.2u,L_1008_2520Metric,2.3,-8.1,0,top
Q1,DMG1024UV,SOT-563,-1.5,4.3,90,top
R1,R,R_0402_1005Metric,3.19,-10,180,top
R2,R,R_0402_1005Metric,1.3,-10,180,top
R3,R,R_0402_1005Metric,2.2,10.1,-90,top
R4,R,R_0402_1005Metric,3.3,10.1,90,top
R5,R,R_0402_1005Metric,2.2,7,-90,top
R6,R,R_0402_1005Metric,3.3,7,90,top
R7,2k2,R_0402_1005Metric,0.4,4.3,-90,top
R8,2k2,R_0402_1005Metric,1.79,4.8,0,top
R13,0,R_0402_1005Metric,-2.1,-0.1,180,top
U1,AP3429K,TSOT-23-6,-1.7,-9.9,90,top
U3,ADP123,TSOT-23-5,-0.3,10.6,180,top
U4,ADP123,TSOT-23-5,-0.3,7.2,180,top
X1,27MHz,Crystal_SMD_2016-4Pin_2.0x1.6mm,-0.8,1.9,-90,top
