Comment,Designator,Footprint,LCSC Part,
CAP CER 22UF 6.3V 20% X5R 0603,C1,0603,C59461,
CAP CER 47UF 25V 20% X5R 0805,C2,0805,C1779,
CAP CER 1UF 25V 10% X5R 0402,C3,0402,C52923,
CAP CER 100NF 50V 10% X7R 0402,"C4, C5",0402,C307331,
CAP CER 10UF 6.3V 20% X5R 0402,"C6, C7",0402,C15525,
RES 200 OHM 0.0625W 1% 0402,R1,0402,C25087,
RES 240 OHM 0.0625W 1% 0402,R2,0402,C470040,a
RES 100K OHM 0.0625W 1% 0402,R3,0402,C25741,
RES 22K OHM 0.0625W 1% 0402,"R4, R6",0402,C25768,
RES 57.6K OHM 0.0625W 1% 0402,R5,0402,C2960799,a
RES 2.2K OHM 0.0625W 1% 0402,"R7, R8",0402,C25879,
RES 0 OHM 0.0625W 1% 0402,R13,0402,C17168,
FERRITE 600OHM@100MHZ 0603,"L1, L5",0603,C19330,a
COM MODE FILTER 90OHM@100MHZ,"L2, L3, L4",0603,C3021349,a
PWR INDR 2.2UH  20% 2.6A 1005,L6,1210,C16197240,a
FPC 0.5MM 30POS,J1,SMT 30POS,C247788,a
FPC 0.5MM 22POS,J5,SMT 22POS,C375919,a
DMG1024UV,Q1,SOT-563,C2759893,a
AP3429K,U1,SOT-23-6,C507879,a
ADP123,"U3, U4",SOT-23-5,C141905,a
27MHZ CMOS 2016,X1,2016,C22370492,a
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
